thai sentence,thai phoneme
เข้าศีรษะด้านซ้ายทะลุขวาหนึ่งนัดนอนจมกองเลือดอยู่ข้างโต๊ะแผนกสินเชื่อห่างประตูเข้าธนาคารด้านหลังราวหนึ่งเมตร,kʰ a3 w _ s iː5 s a2 _ d aː3 n s aː4 j _ tʰ a4 l u4 _ kʰw aː5 _ n ɯ2 ŋ _ n a4 t _ n ᴐː n _ c o m _ k ᴐː ŋ _ l ɯːa3 t _ j uː2 _ kʰ aː3 ŋ _ t o4 _ pʰ a2 n ɛː2 k _ s i5 n cʰ ɯːa3 _ h aː2 ŋ _ pr a2 t uː _ kʰ a3 w _ tʰ a4 n aː kʰ aː n _ d aː3 n l a5 ŋ _ r aː w _ n ɯ2 ŋ _ m eː4 t
ผู้ต้องสงสัยคือนายเชอเรมนิกส์เฟลิกซ์อายุสามสิบเอ็ดปี,pʰ uː3 t ᴐː3 ŋ s o5 ŋ s a5 j _ kʰ ɯː _ n aː j _ cʰ ɤː _ r eː m _ n i2 k _ fl ɤː3 k _ ʔ aː j u4 _ s aː5 m _ s i2 p _ ʔ e2 t _ p iː
เพราะบางเทอมมีนักศึกษาทุจริตเยอะบางครั้งจับมายี่สิบกว่าคน,pʰr ᴐ4 _ b aː ŋ _ tʰ ɤː m _ m iː _ n a4 k s ɯ2 k s aː5 _ tʰ u4 t c a2 r i2 t _ j ɤ4 _ b aː ŋ kʰr a4 ŋ _ c a2 p _ m aː _ j iː3 _ s i2 p _ kw aː2 _ kʰ o n
โดยปลั๊กปลายข้างที่ต้องเสียบติดกับตัวกระทะถูกตัดหัวออก,d oː j _ pl a4 k _ pl aː j _ kʰ aː3 ŋ _ tʰ iː3 _ t ᴐː3 ŋ _ s iːa2 p _ t i2 t _ k a2 p _ t uːa _ kr a2 tʰ a4 _ tʰ uː2 k _ t a2 t h uːa5 _ ʔ ᴐː2 k
หรือทรานสคริปต์ของนักเรียนที่กรมวิชาการจะจัดทำขึ้น,r ɯː5 _ tʰr aː _ n o4 t _ kʰr i4 p _ kʰ ᴐː5 ŋ _ n a4 k r iːa n _ tʰ iː3 _ kr o m w i4 cʰ aː k aː n _ c a2 _ c a2 t tʰ a m _ kʰ ɯ3 n
อาทิแฟ็บสบู่ยาสีฟันมาให้เรือนจำเพื่อบริจาคให้ผู้ต้องขังเป็นประจำอยู่แล้ว,ʔ aː tʰ i4 _ f ɛ4 p _ s a2 b uː2 _ j aː s iː5 f a n _ m aː _ h a3 j _ r ɯːa n c a m _ pʰ ɯːa3 _ b ᴐː r i4 c aː2 k _ h a3 j _ pʰ uː3 t ᴐː3 ŋ kʰ a5 ŋ _ p e n pr a2 c a m _ j uː2 l ɛː4 w
ส่วนล่วงละเมิดทางร่างกายเช่นแตะอั๋งร้อยละสี่สิบเจ็ดจุดสองห้า,s uːa2 n _ l uːa3 ŋ l a4 m ɤː3 t _ tʰ aː ŋ _ r aː3 ŋ k aː j _ cʰ eː3 n _ t ɛ2 _ ʔ a5 ŋ _ r ᴐː4 j l a4 _ s iː2 _ s i2 p _ c e2 t _ c u2 t _ s ᴐː5 ŋ _ h aː3
ซึ่งมีนายเทพและนางน้อยก๋าวิละบิดามารดาของนางวรรณราตรีได้ยื่นคำร้องต่อศาล,s ɯ3 ŋ _ m iː _ n aː j _ tʰ eː3 p _ l ɛ4 _ n aː ŋ _ n ᴐː4 j _ k aː5 _ w i4 _ l a4 _ b i2 d aː _ m aː n d aː _ kʰ ᴐː5 ŋ _ n aː ŋ _ w a n _ r aː tr iː _ d aː3 j _ j ɯː3 n kʰ a m r ᴐː4 ŋ _ t ᴐː2 _ s aː5 n
จากการสอบถามทราบว่าขณะบี๋สวิชกำลังถ่ายทำละครเรื่องดังกล่าว,c aː2 k _ k aː n _ s ᴐː2 p tʰ aː5 m _ s aː3 p _ w aː3 _ kʰ a2 n a2 _ b iː5 t _ w i4 t _ k a m l a ŋ _ tʰ aː2 j tʰ a m _ l a4 kʰ ᴐː n _ r ɯːa3 ŋ _ d a ŋ kl aː2 w
พระเอกบี๋เปิดเผยด้วยสีหน้าที่ยังยิ้มแย้มว่าโดนตะปูสามตัวตำทะลุกางเกงในเข้าเนื้อ,pʰr a4 ʔ eː2 k _ b iː5 _ p ɤː2 t pʰ ɤː5 j _ d uːa3 j _ s iː5 _ n aː3 tʰ iː3 _ j a ŋ _ j i4 m j ɛː4 m _ w aː3 _ d oː n _ t a2 p uː _ s aː5 m _ t uːa _ t a m _ tʰ a4 l u4 _ k aː ŋ k eː ŋ n a j _ kʰ a3 w n ɯːa4
หม่อมอุ๋ยหวั่นเงินเฟ้อติดลบเจริญรอยตามญี่ปุ่น,m ᴐː2 m _ ʔ u5 j _ w a2 n _ ŋ ɤ n f ɤː4 _ t i2 t l o4 p _ c a2 r ɤː n r ᴐː j t aː m _ j iː3 p u2 n
เงินฝืดทั้งนี้เท่าที่ติดตามดูการลดลงอย่างรวดเร็วของเงินเฟ้อเกิดขึ้น,ŋ ɤ n f ɯː2 t _ tʰ a4 ŋ n iː4 _ tʰ a3 w tʰ iː3 _ t i2 t t aː m _ d uː _ k aː n _ l o4 t _ l o ŋ _ j aː2 ŋ _ r uːa3 t r e w _ kʰ ᴐː5 ŋ _ ŋ ɤ n f ɤː4 _ k ɤː2 t _ kʰ ɯ3 n
ฟันสินค้าเฮาส์แบรนด์เจอละเมิดสิทธิบัตรสบช่องเล่นงานยักษ์ค้าปลีก,f a n _ s i5 n kʰ aː4 _ h a w _ b a2 r ɛː n _ c ɤː _ l a4 m ɤː3 t _ s i2 t tʰ i4 b a2 t _ s o2 p _ cʰ ᴐː3 ŋ _ l eː3 n ŋ aː n _ j a4 k _ kʰ aː4 pl iː2 k
ลวงฆ่าประจานถล่มเละแก๊งยาบ้าสามศพ,l uːa ŋ _ kʰ aː3 _ pr a2 c aː n _ tʰ a2 l o2 m _ l e4 _ k ɛː4 ŋ _ j aː b aː3 _ s aː5 m _ s o2 p
สองโจรกรุงยอดแสบปล้นเปลือยแท็กซี่กันเหยื่อแจ้งความ,s ᴐː5 ŋ _ c oː n _ kr u ŋ _ j ᴐː3 t _ s ɛː2 p _ pl o3 n _ pl ɯːa j _ tʰ ɛ4 k s iː3 _ k a n _ j ɯːa2 _ c ɛː3 ŋ kʰw aː m
เพราะทีมฟุตบอลดังเช่าไว้ทั้งฟลอร์ยังมีนักเตะบางส่วนพักอยู่,pʰr ᴐ4 _ tʰ iː m _ f u4 t b ᴐː n _ d a ŋ _ cʰ a3 w _ w a4 j _ tʰ a4 ŋ _ fl ᴐː _ j a ŋ _ m iː _ n a4 k t e2 _ b aː ŋ _ s uːa2 n _ pʰ a4 k _ j uː2
จากนั้นนายแพทย์เปรมศักดิ์ได้กล่าวว่าคณะกรรมาธิการได้เดินทางไปสำรวจพื้นที่บ้านกึ้ดช้างหมู่ที่สิบหก,c aː2 k n a4 n _ n aː j pʰ ɛː3 t _ pr eː m _ s a2 k _ d aː3 j _ kl aː2 w _ w aː3 _ kʰ a4 n a4 k a n m aː tʰ i4 k aː n _ d aː3 j _ d ɤː n tʰ aː ŋ _ p a j _ s a5 m r uːa2 t _ pʰ ɯː4 n tʰ iː3 _ b aː3 n _ k ɯ3 t _ cʰ aː4 ŋ _ m uː2 _ tʰ iː3 _ s i2 p _ h o2 k
ที่บ้านเลขที่หนึ่งสองสามทับสองแปดหมู่บ้านจัดสรรเมเปิ้ลลีฟหมู่หนึ่งตำบลบ่อผุด,tʰ iː3 _ b aː3 n l eː3 k tʰ iː3 _ n ɯ2 ŋ _ s ᴐː5 ŋ _ s aː5 m _ tʰ a4 p _ s ᴐː5 ŋ _ p ɛː2 t _ m uː2 b aː3 n c a2 t s a5 n _ m eː _ p ɤː3 n _ l iː3 p _ m uː2 _ n ɯ2 ŋ _ t a m b o n _ b ᴐː2 _ pʰ u2 t
ดังนี้คู่แรกยักษ์เขียวไอร์แลนด์ปะทะหมอผีแคเมอรูนที่สนามนึงะตะสเตเดียมประเทศญี่ปุ่น,d a ŋ n iː4 _ kʰ uː3 _ r ɛː3 k _ j a4 k _ kʰ iːa5 w _ ʔ a j l ɛː n _ p a2 tʰ a4 _ m ᴐː5 pʰ iː5 _ kʰ ɛː m ɤː r uː n _ tʰ iː3 _ s a2 n aː5 m _ n ɯ4 _ ŋ a4 _ t a2 _ s a2 t eː d iːa3 m _ pr a2 tʰ eː3 t _ j iː3 p u2 n
เมื่อวิ่งไปดูที่ป้อมเห็นสิบตำรวจโทเสน่ห์ฟุบแน่นิ่งคาเก้าอี้ในป้อม,m ɯːa3 _ w i3 ŋ _ p a j _ d uː _ tʰ iː3 _ p ᴐː3 m _ h e5 n _ s i2 p t a m r uːa2 t tʰ oː _ s a2 n eː2 _ f u4 p _ n ɛː3 n i3 ŋ _ kʰ aː _ k a3 w ʔ iː3 _ n a j _ p ᴐː3 m
เพราะผู้ตายทำธุรกิจรับซื้อพลาสติกเก่าด้วย,pʰr ᴐ4 _ pʰ uː3 t aː j _ tʰ a m _ tʰ u4 r a4 k i2 t _ r a4 p s ɯː4 _ pʰ a4 l aː s a2 t i2 k _ k a2 w _ d uːa3 j
รวบเจ็ดโจ๋แก๊งโหดฆ่าปาดคอสองนักศึกษาคู่อริ,r uːa3 p _ c e2 t _ c oː5 _ k ɛː4 ŋ _ h oː2 t _ kʰ aː3 _ p aː2 t _ kʰ ᴐː s ᴐː5 ŋ _ n a4 k s ɯ2 k s aː5 _ kʰ uː3 ʔ a2 r i2
ตราไก่ถึงจะไร้ซีดานแต่ก็ยังปึ้ก,tr aː _ k a2 j _ tʰ ɯ5 ŋ _ c a2 _ r a4 j _ s iː _ d aː n _ t ɛː2 _ k ᴐː3 _ j a ŋ _ p ɯ3 k
ฟรองค์เลอเบิฟ,fr ᴐː ŋ _ l eː _ ʔ a2 b ɤː2 p
ที่เห็นหน้าน้องแพรทั้งคู่โผเข้ากอดด้วยความดีใจที่ลูกสาวคืนกลับสู่อ้อมอก,tʰ iː3 _ h e5 n _ n aː3 _ n ᴐː4 ŋ _ pʰr ɛː _ tʰ a4 ŋ kʰ uː3 _ pʰ oː5 _ kʰ a3 w _ k ᴐː2 t _ d uːa3 j _ kʰw aː m _ d iː c a j _ tʰ iː3 _ l uː3 k s aː5 w _ kʰ ɯː n _ kl a2 p _ s uː2 _ ʔ ᴐː3 m ʔ o2 k
คนก็ยังไม่ยอมกลับเพราะเชื่อว่ายิ่งดึกยิ่งขลังส่วนทางวัดพยายามอำนวยความสะดวกเต็มที่,kʰ o n _ k ᴐː3 _ j a ŋ _ m a3 j _ j ᴐː m _ kl a2 p _ pʰr ᴐ4 _ cʰ ɯːa3 _ w aː3 _ j i3 ŋ _ d ɯ2 k _ j i3 ŋ _ kʰl a5 ŋ _ s uːa2 n _ tʰ aː ŋ _ w a4 t _ pʰ a4 j aː j aː m _ ʔ a m n uːa j _ kʰw aː m s a2 d uːa2 k _ t e m tʰ iː3
แต่ในมุมของอ้วนกลับมองว่าดูเป็นหญิงก๋ากั่นไม่ชวนมองขาดเสน่ห์ดึงดูดใจ,t ɛː2 _ n a j _ m u m _ kʰ ᴐː5 ŋ _ ʔ uːa3 n _ kl a2 p _ m ᴐː ŋ _ w aː3 _ d uː _ p e n _ j i5 ŋ _ k aː5 k a2 n _ m a3 j _ cʰ uːa n _ m ᴐː ŋ _ kʰ aː2 t _ s a2 n eː2 _ d ɯ ŋ d uː2 t c a j
ในบ่อเกรอะบ้านแพทย์หญิงผัสพร,n a j _ b ᴐː2 kr ɤ2 _ b aː3 n _ pʰ ɛː3 t _ j i5 ŋ _ pʰ a2 t _ pʰ ᴐː n
การปิโตรเลียมแห่งประเทศไทยผวาตั๋วน้ำมันจ๊อบเบอร์เดี้ยง,k aː n p i2 tr oː l iːa m h ɛː2 ŋ pr a2 tʰ eː3 t tʰ a j _ pʰ a2 w aː5 _ t uːa5 _ n aː4 m m a n _ c ᴐː4 p _ b ɤː _ d iːa3 ŋ
โดยล่าสุดชวนศรีออยล์เหลือตั๋วบีอีที่การปิโตรเลียมแห่งประเทศไทย,d oː j _ l aː3 s u2 t _ cʰ uːa n _ s iː5 _ ʔ ᴐː j _ l ɯːa5 _ t uːa5 _ b iː _ ʔ iː _ tʰ iː3 _ k aː n p i2 tr oː l iːa m h ɛː2 ŋ pr a2 tʰ eː3 t tʰ a j
แต่ยังไม่ปลดพนักงานเพราะรอคำสั่งสินค้างวดใหม่,t ɛː2 _ j a ŋ _ m a3 j _ pl o2 t _ pʰ a4 n a4 k ŋ aː n _ pʰr ᴐ4 _ r ᴐː _ kʰ a m s a2 ŋ _ s i5 n kʰ aː4 _ ŋ uːa3 t _ m a2 j
แต่ผู้ขับขี่ยวดยานที่อาจพลั้งพลาดขับเข้าไปจนเกิดอุบัติเหตุ,t ɛː2 _ pʰ uː3 _ kʰ a2 p kʰ iː2 _ j uːa3 t j aː n _ tʰ iː3 _ ʔ aː2 t _ pʰl a4 ŋ pʰl aː3 t _ kʰ a2 p _ kʰ a3 w _ p a j _ c o n _ k ɤː2 t _ ʔ u2 b a2 t t i2 h eː2 t
ทำให้นายธเนศถึงกับสติขาดผึงกวาดเท้าขวาเตะเข้าก้านคอนางลำเค็ญดังพลั่กล้มทั้งยืน,tʰ a m h a3 j _ n aː j _ tʰ a4 n eː3 t _ tʰ ɯ5 ŋ k a2 p _ s a2 t i2 _ kʰ aː2 t _ pʰ ɯ5 ŋ _ kw aː2 t _ tʰ aː4 w _ kʰw aː5 _ t e2 _ kʰ a3 w _ k aː3 n kʰ ᴐː _ n aː ŋ _ l a m kʰ e n _ d a ŋ _ pʰl a3 k _ l o4 m tʰ a4 ŋ j ɯː n
หลวงปู่ตุ๋ยเด็กมอบตัว,l uːa5 ŋ _ p uː2 _ t u5 j _ d e2 k _ m ᴐː3 p t uːa
จึงตบหน้าไปสองครั้งปลั๊กเป็นเด็กก้าวร้าวพอสมควร,c ɯ ŋ _ t o2 p n aː3 _ p a j _ s ᴐː5 ŋ _ kʰr a4 ŋ _ pl a4 k _ p e n _ d e2 k _ k aː3 w r aː4 w _ pʰ ᴐː s o5 m kʰ uːa n
พอตนส่งน้องกายเสร็จจึงตรงเข้าไปกอดคอปลั๊กและบอกว่าขอคุยกันหน่อย,pʰ ᴐː _ t o n _ s o2 ŋ _ n ᴐː4 ŋ _ k aː j _ s e2 t _ c ɯ ŋ _ tr o ŋ _ kʰ a3 w _ p a j _ k ᴐː2 t _ kʰ ᴐː _ pl a4 k _ l ɛ4 _ b ᴐː2 k _ w aː3 _ kʰ ᴐː5 _ kʰ u j k a n _ n ᴐː2 j
ปลั๊กทำอย่างนี้เพราะอยากได้คะแนนจากช่าเพราะช่าเป็นคนส่งปลั๊กเรียนหนังสือตอนเจอช่าก็,pl a4 k _ tʰ a m _ j aː2 ŋ n iː4 _ pʰr ᴐ4 _ j aː2 k _ d aː3 j _ kʰ a4 n ɛː n _ c aː2 k _ cʰ aː3 _ pʰr ᴐ4 _ cʰ aː3 _ p e n _ kʰ o n _ s o2 ŋ _ pl a4 k _ r iːa n n a5 ŋ s ɯː5 _ t ᴐː n _ c ɤː _ cʰ aː3 _ k ᴐː3
หรือนิตยสารเล่มอื่นนำเสนอโจ๋งครึ่มกว่านี้แต่ไม่มีใครหยิบยกมาพูด,r ɯː5 _ n i4 t t a2 j a4 s aː5 n _ l eː3 m _ ʔ ɯː2 n _ n a m s a2 n ɤː5 _ c oː5 ŋ kʰr ɯ3 m _ kw aː2 _ n iː4 _ t ɛː2 _ m a3 j _ m iː _ kʰr a j _ j i2 p j o4 k _ m aː _ pʰ uː3 t
ส่วนใหญ่มีปัญหาทางครอบครัวถูกค่านิยมในหมู่เพื่อนฝูงและความฟุ้งเฟ้อชักจูงไป,s uːa2 n j a2 j _ m iː _ p a n h aː5 _ tʰ aː ŋ _ kʰr ᴐː3 p kʰr uːa _ tʰ uː2 k _ kʰ aː3 n i4 j o m _ n a j _ m uː2 _ pʰ ɯːa3 n f uː5 ŋ _ l ɛ4 _ kʰw aː m _ f u4 ŋ f ɤː4 _ cʰ a4 k c uː ŋ _ p a j
พิธีกรจึงกล่าวเป็นนัยว่าทั้งหมดได้ซื้อแน่เพราะเบรนเป็นคำตอบที่ถูกต้อง,pʰ i4 tʰ iː k ᴐː n _ c ɯ ŋ _ kl aː2 w _ p e n _ n a j w aː3 _ tʰ a4 ŋ m o2 t _ d aː3 j _ s ɯː4 _ n ɛː3 _ pʰr ᴐ4 _ b a2 r eː n _ p e n _ kʰ a m t ᴐː2 p _ tʰ iː3 _ tʰ uː2 k t ᴐː3 ŋ
ปัญหาก็ยิ่งเยอะยิ่งทำเล็กปัญหายิ่งน้อยนักธุรกิจอย่าเข้าใจผิดว่าทำใหญ่แล้วจะสบาย,p a n h aː5 _ k ᴐː3 _ j i3 ŋ _ j ɤ4 _ j i3 ŋ _ tʰ a m _ l e4 k _ p a n h aː5 _ j i3 ŋ _ n ᴐː4 j _ n a4 k tʰ u4 r a4 k i2 t _ j aː2 _ kʰ a3 w c a j _ pʰ i2 t _ w aː3 _ tʰ a m _ j a2 j _ l ɛː4 w _ c a2 _ s a2 b aː j
ก็หันมาหลงเสน่ห์งานศิลปะบนเปลือกไข่โดยมีผลงานที่เป็นเอกลักษณ์ของตัวเอง,k ᴐː3 _ h a5 n _ m aː _ l o5 ŋ s a2 n eː2 _ ŋ aː n _ s i5 n l a4 p a2 _ b o n _ pl ɯːa2 k kʰ a2 j _ d oː j _ m iː _ pʰ o5 n ŋ aː n _ tʰ iː3 _ p e n _ ʔ eː2 k k a2 l a4 k _ kʰ ᴐː5 ŋ _ t uːa ʔ eː ŋ
แฉพ่อค้าแสบใช้เขมรปลูกข้าวหอมมะลิหวั่นอ้างส่งออกจากไทย,cʰ ɛː5 _ pʰ ᴐː3 kʰ aː4 _ s ɛː2 p _ cʰ a4 j _ kʰ a2 m eː5 n _ pl uː2 k _ kʰ aː3 w _ h ᴐː5 m _ m a4 l i4 _ w a2 n _ ʔ aː3 ŋ _ s o2 ŋ ʔ ᴐː2 k _ c aː2 k _ tʰ a j
แต่เมื่อรายชื่อออกมากลับกลายเป็นแมวหงอย,t ɛː2 _ m ɯːa3 _ r aː j cʰ ɯː3 _ ʔ ᴐː2 k _ m aː _ kl a2 p kl aː j _ p e n _ m ɛː w _ ŋ ᴐː5 j
ส่วนนายเบนแบรดชอว์ผู้ช่วยรัฐมนตรีต่างประเทศอังกฤษกล่าวผ่านทางวิทยุบีบีซีว่า,s uːa2 n _ n aː j _ b eː _ pʰ uː3 cʰ uːa3 j r a4 t tʰ a2 m o n tr iː _ t aː2 ŋ pr a2 tʰ eː3 t _ ʔ a ŋ kr i2 t _ kl aː2 w _ pʰ aː2 n _ tʰ aː ŋ _ w i4 t tʰ a4 j u4 _ b iː b iː s iː _ w aː3
ดอกไม้ริมรั้วฝีมือสาวรุ่นใหม่หลายคนบอกว่าไม่มีอะไรในโลกที่มนุษย์ทำไม่ได้,d ᴐː2 k m aː4 j _ r i m _ r uːa4 _ f iː5 m ɯː _ s aː5 w _ r u3 n _ m a2 j _ l aː5 j _ kʰ o n _ b ᴐː2 k _ w aː3 _ m a3 j _ m iː _ ʔ a2 r a j _ n a j _ l oː3 k _ tʰ iː3 _ m a4 n u4 t _ tʰ a m _ m a3 j d aː3 j
นางสุวิมลศิริชาติวัฒนาครูประจำชั้นเพื่อประกาศหาเจ้าของที่ทำตกหาย,n aː ŋ _ s u2 w i4 m o n _ s i2 _ r i4 _ cʰ aː3 t _ w a4 t tʰ a4 n aː _ kʰr uː pr a2 c a m cʰ a4 n _ pʰ ɯːa3 _ pr a2 k aː2 t _ h aː5 _ c aː3 w kʰ ᴐː5 ŋ _ tʰ iː3 _ tʰ a m _ t o2 k _ h aː5 j
ชื่อเอนจอยเวิร์ดขึ้นเป็นเกมที่พัฒนาต่อยอดจากเกมเดิมคือเกมสแครปเบิ้ลที่ชาวอเมริกันประดิษฐ์ขึ้น,cʰ ɯː3 _ ʔ eː n _ c ᴐː j _ w ɤː3 t _ kʰ ɯ3 n _ p e n _ k eː m _ tʰ iː3 _ pʰ a4 t tʰ a4 n aː _ t ᴐː2 j ᴐː3 t _ c aː2 k _ k eː m _ d ɤː m _ kʰ ɯː _ k eː m _ s a2 kʰ ɛː n _ tʰ iː3 _ cʰ aː w _ ʔ a2 m eː r i4 k a n _ pr a2 d i2 t _ kʰ ɯ3 n
ตามด้วยแอนดริวเกรกสันร้อยละสิบแปดจุดสามสาม,t aː m _ d uːa3 j _ ʔ ɛː n _ d a2 r i w _ k a2 r eː2 k _ s a5 n _ r ᴐː4 j l a4 _ s i2 p _ p ɛː2 t _ c u2 t _ s aː5 m _ s aː5 m
สั่งรื้อป้ายขุดคลองนายกติวข้าราชการระวังงบแปรญัตติ,s a2 ŋ _ r ɯː4 _ p aː3 j _ kʰ u2 t _ kʰl ᴐː ŋ _ n aː j o4 k _ t i w _ kʰ aː3 r aː3 t cʰ a4 k aː n _ r a4 w a ŋ _ ŋ o4 p _ p ɛː n j a4 t t i2
และทำให้ท่านรู้สึกอบอุ่นไม่รู้สึกว้าเหว่หรือเดียวดาย,l ɛ4 _ tʰ a m h a3 j _ tʰ a3 n _ r uː4 s ɯ2 k _ ʔ o2 p ʔ u2 n _ m a3 j _ r uː4 s ɯ2 k _ w aː4 w eː2 _ r ɯː5 _ d iːa w d aː j
มิคาเอลซิลแวสตร์,m i4 _ kʰ aː _ ʔ eː n _ s i4 _ l a4 w ɛː3 t
ต่อมากองเชียร์ไทยได้ชมฟรีคิกของสุดหล่อเบคแคมจะจะครั้งแรก,t ᴐː2 m aː _ k ᴐː ŋ cʰ iːa _ tʰ a j _ d aː3 j _ cʰ o m _ fr iː _ kʰ i4 k _ kʰ ᴐː5 ŋ _ s u2 t _ l ᴐː2 _ b eː2 k _ kʰ ɛː m _ c a2 c a2 _ kʰr a4 ŋ r ɛː3 k
เมื่อยอร์กเบิ้ลบอลมาให้คีนล้มตัวยิงแต่พรรษาบล็อกลูกออกหลังถัดมาบัตต์ลองยิงไกลแต่ก็ข้ามคาน,m ɯːa3 _ j ᴐː3 k _ b ɤː3 n _ b ᴐː n _ m aː _ h a3 j _ kʰ iː n _ l o4 m _ t uːa _ j i ŋ _ t ɛː2 _ pʰ a n s aː5 _ bl ᴐ2 k _ l uː3 k _ ʔ ᴐː2 k _ l a5 ŋ _ tʰ a2 t _ m aː _ b a2 t _ l ᴐː ŋ _ j i ŋ _ kl a j _ t ɛː2 _ k ᴐː3 _ kʰ aː3 m _ kʰ aː n
พบมีดเปื้อนเลือดขนาดยาวสองฟุตหนึ่งเล่มและมีดปอกผลไม้ยาวห้านิ้วมีคราบเลือดเปรอะอีกหนึ่งเล่ม,pʰ o4 p _ m iː3 t _ p ɯːa3 n _ l ɯːa3 t _ kʰ a2 n aː2 t _ j aː w _ s ᴐː5 ŋ _ f u4 t _ n ɯ2 ŋ _ l eː3 m _ l ɛ4 _ m iː3 t _ p ᴐː2 k _ pʰ o5 n _ m aː4 j j aː w _ h aː3 _ n i4 w _ m iː _ kʰr aː3 p l ɯːa3 t _ pr ɤ2 _ ʔ iː2 k _ n ɯ2 ŋ _ l eː3 m
โดยเงินจำนวนนี้จะครอบคลุมถึงการจัดสร้างสนามสเกตโรลเลอร์เบลด,d oː j _ ŋ ɤ n _ c a m n uːa n _ n iː4 _ c a2 _ kʰr ᴐː3 p kʰl u m _ tʰ ɯ5 ŋ _ k aː n _ c a2 t s aː3 ŋ _ s a2 n aː5 m _ s a2 k eː4 t _ r oː n _ l ɤː _ b eː _ l o4 t
และนายสมทรงเผือนงูเหลือมนิติกรสำนักงานสามัญศึกษาจังหวัดนครราชสีมาเป็นกรรมการ,l ɛ4 _ n aː j _ s o5 m _ s o ŋ _ pʰ ɯːa5 n _ ŋ uː l ɯːa5 m _ n i4 t i2 k ᴐː n _ s a5 m n a4 k ŋ aː n _ s aː5 m a n _ s ɯ2 k s aː5 _ c a ŋ w a2 t _ n a4 kʰ ᴐː n r aː3 t cʰ a4 s iː5 m aː _ p e n _ k a m m a4 k aː n
